dcc_des,dcc_l,dcc_f2,dcc_f3,dcc_obs[-1]
0.6080771651,0.3919228349,0,0,0
0.4327426767,0.5672573233,0,0,0
0.5677859316,0.4322140684,0,0,0
0.5673845364,0.4326154636,0,0,0
0.8722510534,0.1277489466,0,0,0
0.7306645986,0.2670686393,0.0022667621,0,0
0.8026481588,0.1854312391,0.0119206021,0,0
0.7177575104,0.2125847765,0.0696577131,0,0
0.844692079,0.1442672698,0.0110406512,0,0
0.6894684927,0.3105315073,0,0,0
0.8010615483,0.1971515665,0.0017868852,0,0
0.9443007746,0.0556992254,0,0,0
0.6828669714,0.3171330286,0,0,0
0.6096301689,0.3903698311,0,0,0
0.7469098573,0.2480767668,0.0050133759,0,0
0.7316618807,0.246174686,0.0221634333,0,0
0.8412923723,0.0762175748,0.0824900529,0,0
0.7076395888,0.2777683474,0.0145920638,0,0
0.8656797076,0.1117893481,0.0225309443,0,0
0.9485919516,0.0463664071,0.0050416413,0,0
0.950475287,0.0491619294,0.0003627836,0,0
0.9702148161,0.0297851839,0,0,0
0.9168337907,0.082839373,0.0003268363,0,0
0.972633879,0.027366121,0,0,0
0.9744632243,0.0255367757,0,0,0
0.8227047188,0.1772952812,0,0,0
0.9784263914,0.0215736086,0,0,0
0.7304245229,0.2695754771,0,0,0
0.4794612015,0.5205387985,0,0,0
0.5865526428,0.4134473572,0,0,0
0.3279990382,0.6720009618,0,0,0
0.4129010695,0.5870989305,0,0,0
0.4201314665,0.5798685335,0,0,0
0.2603185599,0.7396429879,0,0,0
0.8319505259,0.1541059946,0,4.55696677147E-07,0
0.3097416397,0.6898136697,0,0.0004446906,0
0.5626208093,0.4345088446,0,0.0027097876,0
0.312881168,0.687118832,0,0,0
0.6190193318,0.3800323323,0,0.0009483359,0
0.4475011077,0.5522052778,0,0.0002936145,0
0.8100302551,0.1887142294,0,0.0012555154,0
0.8198807412,0.1788789671,0,0.0012402918,0
0.7989830718,0.1984851188,0,0.0025318094,0
0.7319587793,0.2656682895,0,0.0023729312,0
0.7763289822,0.2217336005,0,0.0019374173,0
0.8061249477,0.1917886699,0,0.0020863824,0
0.8563677023,0.1412705435,0,0.0023617542,0
0.8521361078,0.1440550213,0,0.0038088709,0
0.8572416767,0.1370489249,0,0.0057093983,0
0.8517111821,0.139523413,0,0.0087654049,0
0.8695025013,0.1208841083,0,0.0096133904,0
0.8691382518,0.1198976638,0,0.0109640845,0
0.8548158777,0.1353853559,0,0.0097987664,0
0.8670430373,0.1215067728,0,0.0114501899,0
0.8730644434,0.1142326857,0,0.012702871,0
0.8568288802,0.131260997,0,0.0119101227,0
0.8596702477,0.1286631406,0,0.0116666117,0
0.8591015558,0.1293347074,0,0.0115637369,0
0.8602105395,0.1283911989,0,0.0113982617,0
0.8469524849,0.1434341186,0,0.0096133965,0
0.8876887665,0.1000228468,0,0.0122883868,0
0.8778064772,0.1108080371,0,0.0113854857,0
0.8739791556,0.1190353666,0,0.0069854778,0
0.8277024522,0.1680726664,0,0.0042248813,0
0.8496785552,0.1454049187,0,0.0049165262,0
0.8512555255,0.1444442805,0,0.004300194,0
0.8323004674,0.16430682,0,0.0033927125,0
0.8339984276,0.1631116124,0,0.0028899599,0
0.8589082766,0.1386788717,0,0.0024128517,0
0.8741036158,0.1231567772,0,0.002739607,0
0.8415784012,0.1564012602,0,0.0020203386,0
0.8232419432,0.175519503,0,0.0012385538,0
0.8561882317,0.1424335396,0,0.0013782287,0
0.8767317634,0.1221224099,0,0.0011458267,0
0.8543749259,0.1446335383,0,0.0009915357,0
0.8549309234,0.144439801,0,0.0006292756,0
0.8687684091,0.1304691675,0,0.0007624235,0
0.8399498523,0.1590509962,0,0.0009991516,0
0.7395323308,0.2602335022,0,0.000234167,0
0.8454385088,0.1544033055,0,0.0001581857,0
0.8454041779,0.154426657,0,0.0001691651,0
0.8046858823,0.1952341978,0,7.99198626661E-05,0
0.7663350183,0.233621801,0,4.31807141075E-05,0
0.8234288673,0.1763842972,0,0.0001868355,0
0.8515330879,0.148205095,0,0.0002618171,0
0.8118697225,0.1879324849,0,0.0001977926,0
0.6456502573,0.3539353606,0,0.0004143821,0
0.831405487,0.167743744,0,0.0008507689,0
0.85497277,0.1431874309,0,0.0018397991,0
0.7359486514,0.2637456518,0,0.0003056968,0
0.5866872786,0.41219802,0,0.0011147014,0
0.8541433874,0.1445959881,0,0.0012606245,0
0.7747841345,0.2217549274,0,0.0034609381,0
0.537542589,0.4545937137,0,0.0078636973,0
0.8538471021,0.1405508309,0,0.005602067,0
0.7645794579,0.226425646,0,0.008994896,0
0.6226275985,0.3688140062,0,0.0085583954,0
0.7177187994,0.2794848076,0,0.002796393,0
0.7138990771,0.2828734206,0,0.0032275023,0
0.7196790254,0.277488203,0,0.0028327717,0
0.7824633727,0.2071477967,0,0.0103888306,0
0.6369467167,0.3475253171,0,0.0155279662,0
0.8081948249,0.1836662738,0,0.0081389013,0
0.7929541227,0.1954571532,0,0.0115887241,0
0.7356643651,0.2520005689,0,0.012335066,0
0.7580879356,0.2272924777,0,0.0146195867,0
0.8010878368,0.1779476765,0,0.0209644867,0
0.7090259687,0.2794320049,0,0.0115420264,0
0.8880014241,0.0242271525,0,0.0877714234,0
0.3146651949,0.3949465094,0,0.2903882957,0
0.6948426906,0.1361204532,0,0.1690368563,0
0.592590226,0.1046283757,0,0.3027813983,0
0.6024114529,0.0248836334,0,0.3727049137,0
0.503791965,0.1731166598,0,0.3230913752,0
0.4126650341,0.1762908016,0,0.4110441643,0
0.1080387722,0.8656910006,0,0.0262702272,0
0.6012104921,0.1038548904,0,0.2949346174,0
0.4633690655,0.0587818404,0,0.4778490941,0
0.2370804168,0.5238399744,0,0.2390796088,0
0.5054342994,0.1911367141,0,0.3034289864,0
0.5054342994,0.1911367141,0,0.3034289864,0
